Account.Id,ID,Name,Contract_Price_Model__c,StageName,Amount,Probability,CloseDate,Type,Consultants__c,Country__c,Months__c,Sector__c,Contract_Category__c,Business_Unit__c,Amount_Old_Value__c,StageName_Priorvalue__c,EUR_Rate__c,Project_Start_Date__c
43,115,Lynge Servicepartner -Helpdesk Platform Deployment,,1 - Possibility,2520000,10,2026-01-01,Resources,2,Norway,6,Government,,APPS,2520000,0 - Planning,11.52,2026-01-01
44,116,Ørnli Blomster -Retail Sales Analytics Project,T&M (No estimates or cap),1 - Possibility,2520000,10,2025-08-31,Resources,1,Norway,12,TMT,New contract (not connected to framework/capacity agreement),APPS,2520000,1 - Possibility,11.52,2025-08-31
45,117,Sandli Bakeri -Bakery ERP Implementation,T&M (No estimates or cap),1 - Possibility,630000,10,2025-08-31,Resources,1,Norway,3,FS,,APPS,630000,1 - Possibility,11.52,2025-08-31
46,118,Månestråle Foto -Digital Editing Workflow Optimization,T&M (No estimates or cap),0 - Planning,10080000,0,2025-09-30,Resources,4,Norway,12,Industry,,DPS,10080000,0 - Planning,11.52,2025-09-30
47,120,Frostvik Elektroservice -Field Technician Scheduling Tool,,1 - Possibility,630000,10,2025-10-31,Project,1,Norway,3,Industry,,APPS,630000,1 - Possibility,11.52,2025-10-31
48,121,Isbreen Varehandel -Omnichannel Retail System,,0 - Planning,100000,0,2025-09-01,Resources,,Norway,0,Government,,APPS;DPS;Advisory,0,0 - Planning,11.52,2025-09-01
49,131,Solvik Renhold -Cleaning Operations Management Software,,0 - Planning,25200000,0,2025-12-31,Project,5,Norway,24,Retail,New contract (not connected to framework/capacity agreement),APPS,25200000,1 - Possibility,11.52,2025-12-31
50,145,Vargøy Mekaniske Verksted -Predictive Maintenance Analytics,,1 - Possibility,1000000,90,2025-08-31,Frame agreement,1.5,Norway,3,Government,,Advisory,0,1 - Possibility,11.52,2025-08-31
51,149,Fjordglimt Barnehage -Parent Portal Development,,1 - Possibility,1260000,10,2025-08-31,Resources,1,Norway,6,Government,,APPS,1260000,1 - Possibility,11.52,2025-08-31
52,151,Bjørnefjell Maskin -Heavy Equipment Monitoring System,,1 - Possibility,630000,10,2025-12-12,Resources,1,Norway,3,Transport,,DPS,630000,0 - Planning,11.52,2025-12-12
53,153,Nordberg Transportservice -Transport Management Platform,T&M (No estimates or cap),1 - Possibility,6500000,10,2025-08-31,Resources,5,Sweden,6,Government,New contract (not connected to framework/capacity agreement),,0,1 - Possibility,11.31,2026-01-01
54,154,Lofotmat AS -Food Traceability System Implementation,,0 - Planning,840000,0,2025-12-31,Managed services,2,Norway,2,Industry,,APPS;DPS,840000,0 - Planning,11.52,2025-12-31
55,156,Trollheim Turbusser -Passenger Booking App,,1 - Possibility,210000,10,2025-09-30,Project,1,Norway,1,FS,,APPS,210000,1 - Possibility,11.52,2025-09-30
56,158,Lysebotn Konsulenttjenester -IT Strategy & Advisory Project,T&M with estimates / delivery responsibility,0 - Planning,630000,0,2025-09-30,Project,1,Norway,3,Government,New call off (Agreement on existing contract),APPS;DPS;Advisory,630000,0 - Planning,11.52,2025-09-30
57,162,Kysthavn Malerservice -Job Tracking Platform Deployment,,1 - Possibility,840000,10,2025-08-30,Resources,2,Norway,2,Other,,APPS,840000,1 - Possibility,11.52,2025-08-30
58,163,Ravnås Revisjon -Audit Process Automation,T&M (No estimates or cap),1 - Possibility,7560000,10,2025-12-31,Resources,3,Norway,12,Industry,,DPS,7560000,1 - Possibility,11.52,2026-01-01
59,169,Østerli Teknologi -ERP Cloud Deployment,,1 - Possibility,630000,10,2025-08-31,Resources,1,Norway,3,Transport,,APPS;DPS,630000,0 - Planning,11.52,2025-08-31
60,170,Frosthavn Engineering -Product Lifecycle Data Integration,T&M with estimates / delivery responsibility,1 - Possibility,20000000,10,2025-08-31,Project,8,Norway,12,Industry,New contract (not connected to framework/capacity agreement),APPS,0,1 - Possibility,11.52,2025-10-01
61,171,Havbris Husdesign -Home Design VR Platform,,1 - Possibility,1260000,10,2025-09-30,Capacity agreement,1,Norway,6,FS,,APPS,1260000,1 - Possibility,11.52,2025-09-30
62,173,Vinterlys Grafisk -Creative Asset Management Tool,FAST,1 - Possibility,2520000,10,2025-09-30,Resources,2,Norway,6,TMT,New contract (not connected to framework/capacity agreement),APPS,2520000,1 - Possibility,11.52,2025-09-30
63,174,Åsly Entreprenør -Construction Site IoT Implementation,,0 - Planning,2520000,0,2025-12-31,Project,2,Norway,6,Energy,,APPS,2520000,0 - Planning,11.52,2025-12-31
64,175,Tindbråten Catering -Catering Order Management System,Fixed price/Target price,1 - Possibility,840000,10,2026-02-02,Project,2,Norway,2,Government,New contract (not connected to framework/capacity agreement),APPS,840000,1 - Possibility,11.52,2026-02-02
65,177,Blåskjell Marine -Aquaculture Data Analytics Platform,,1 - Possibility,630000,10,2025-09-01,Resources,1,Norway,3,Government,,APPS,630000,0 - Planning,11.52,2025-09-01
66,179,Sørvik Service AS -Digital Workflow Transformation,Fixed price/Target price,1 - Possibility,500000,60,2025-10-31,Project,3,Norway,2,Industry,New contract (not connected to framework/capacity agreement),APPS,0,1 - Possibility,11.52,2025-10-31
67,182,Elveland Bygg -Project Tracking Software Implementation,,1 - Possibility,420000,10,2025-08-29,Resources,1,Norway,2,Energy,,Advisory,420000,1 - Possibility,11.52,2025-08-29
68,183,Grøtli Gartneri -Smart Greenhouse Monitoring,T&M with estimates / delivery responsibility,1 - Possibility,100000,10,2025-08-31,Project,2,Norway,1,Government,New contract (not connected to framework/capacity agreement),APPS;Advisory,0,1 - Possibility,11.52,2025-08-31
69,186,Nordfjell Mekanikk -Predictive Maintenance System,Fixed price/Target price,1 - Possibility,300000,10,2025-08-31,Project,1,Norway,1,Government,New call off (Agreement on existing contract),APPS,0,1 - Possibility,11.52,2025-08-31
70,187,Bergstrand Trevare -Production Line IoT Deployment,,1 - Possibility,400000,10,2025-09-30,Project,1,Norway,1,Government,Change to an active call off or contract,APPS,0,1 - Possibility,11.52,2025-09-30
71,188,Fjordstien Reiser -Travel Booking Portal Upgrade,,1 - Possibility,300000,10,2025-11-30,Managed services,1,Norway,1,Government,New call off (Agreement on existing contract),APPS,0,1 - Possibility,11.52,2025-11-30
72,189,Arktisk Drift -IT Infrastructure Consolidation,,1 - Possibility,630000,10,2025-08-31,Resources,1,Norway,3,TMT,,APPS,630000,0 - Planning,11.52,2025-08-31
73,190,Vikholmen AS -Document Management System,,1 - Possibility,630000,10,2025-12-31,Resources,1,Norway,3,Energy,,APPS;DPS,630000,0 - Planning,11.52,2025-12-31
74,193,Havgløtt Regnskapskontor -Cloud Accounting Migration,,1 - Possibility,630000,10,2025-06-30,Resources,1,Norway,3,NGO,,APPS,630000,0 - Planning,11.52,2025-06-30
75,194,Solhaug IT-Løsninger -Custom App Development Project,,0 - Planning,7560000,0,2025-11-01,Project,3,Norway,12,DHS,,APPS,7560000,0 - Planning,11.52,2025-11-01
76,195,Kystfjord Betong -Construction Data Platform Rollout,T&M (No estimates or cap),1 - Possibility,1260000,10,2025-10-31,Resources,1,Norway,6,FS,New call off (Agreement on existing contract),APPS,1260000,0 - Planning,11.52,2025-10-31
77,196,Granly Auto -Dealership CRM Implementation,,1 - Possibility,300000,10,2025-09-30,Resources,0,Sweden,0,TMT,,,0,1 - Possibility,11.31,2025-09-30
78,200,Lynås Elektro -Smart Building Automation,,1 - Possibility,630000,10,2025-09-30,Resources,1,Norway,3,FS,,APPS;DPS;BD;Advisory,630000,0 - Planning,11.52,2025-09-30
